Name,BBG_Ticker,Field,Country,Category,,
NZDUSD 6m implied yield,NZDI6M Curncy,PX_LAST,NZ,FX,,
USDCHF 6m implied yield,CHFI6M Curncy,PX_LAST,CH,FX,,
USDNOK 6m implied yield,NOKI6M Curncy,PX_LAST,NO,FX,,
USDCNH 6m implied yield,CNHI6M Curncy,PX_LAST,CN,FX,,
USDSGD 6m implied yield,SGDI6M Curncy,PX_LAST,SG,FX,,
USDTRY 6m implied yield,TRYI6M Curncy,PX_LAST,TR,FX,,
USDHKD 6m implied yield,HKDI6M Curncy,PX_LAST,HK,FX,,
USDZAR 6m implied yield,ZARI6M Curncy,PX_LAST,ZA,FX,,
USDMXN 6m implied yield,MXNI6M Curncy,PX_LAST,MX,FX,,
USDCNY 6m NDF implied yield,CCNI6M Curncy,PX_LAST,CN,FX,,
USDKRW 6m NDF implied yield,KWNI6M Curncy,PX_LAST,KR,FX,,
USDTWD 6m NDF implied yield,NTNI6M Curncy,PX_LAST,TW,FX,,
USDIDR 6m NDF implied yield,IHNI6M Curncy,PX_LAST,ID,FX,,
USDINR 6m NDF implied yield,IRNI6M Curncy,PX_LAST,IN,FX,,
USDPHP 6m NDF implied yield,PPNI6M Curncy,PX_LAST,PH,FX,,
EURUSD 12m forward point,EUR12M Curncy,PX_LAST,EU,FX,,
USDJPY 12m forward point,JPY12M Curncy,PX_LAST,JP,FX,,
GBPUSD 12m forward point,GBP12M Curncy,PX_LAST,UK,FX,,
AUDUSD 12m forward point,AUD12M Curncy,PX_LAST,AU,FX,,
USDCAD 12m forward point,CAD12M Curncy,PX_LAST,CA,FX,,
NZDUSD 12m forward point,NZD12M Curncy,PX_LAST,NZ,FX,,
USDCHF 12m forward point,CHF12M Curncy,PX_LAST,CH,FX,,
USDNOK 12m forward point,NOK12M Curncy,PX_LAST,NO,FX,,
USDCNH 12m forward point,CNH12M Curncy,PX_LAST,CN,FX,,
USDSGD 12m forward point,SGD12M Curncy,PX_LAST,SG,FX,,
USDTRY 12m forward point,TRY12M Curncy,PX_LAST,TR,FX,,
USDHKD 12m forward point,HKD12M Curncy,PX_LAST,HK,FX,,
USDZAR 12m forward point,ZAR12M Curncy,PX_LAST,ZA,FX,,
USDMXN 12m forward point,MXN12M Curncy,PX_LAST,MX,FX,,
USDCNY 12m NDF,CCN12M Curncy,PX_LAST,CN,FX,,
USDKRW 12m NDF,KWN12M Curncy,PX_LAST,KR,FX,,
USDTWD 12m NDF,NTN12M Curncy,PX_LAST,TW,FX,,
USDIDR 12m NDF,IHN12M Curncy,PX_LAST,ID,FX,,
USDINR 12m NDF,IRN12M Curncy,PX_LAST,IN,FX,,
USDPHP 12m NDF,PPN12M Curncy,PX_LAST,PH,FX,,
EURUSD 12m implied yield,EURI12M Curncy,PX_LAST,EU,FX,,
USDJPY 12m implied yield,JPYI12M Curncy,PX_LAST,JP,FX,,
GBPUSD 12m implied yield,GBPI12M Curncy,PX_LAST,UK,FX,,
AUDUSD 12m implied yield,AUDI12M Curncy,PX_LAST,AU,FX,,
USDCAD 12m implied yield,CADI12M Curncy,PX_LAST,CA,FX,,
NZDUSD 12m implied yield,NZDI12M Curncy,PX_LAST,NZ,FX,,
USDCHF 12m implied yield,CHFI12M Curncy,PX_LAST,CH,FX,,
USDNOK 12m implied yield,NOKI12M Curncy,PX_LAST,NO,FX,,
USDCNH 12m implied yield,CNHI12M Curncy,PX_LAST,CN,FX,,
USDSGD 12m implied yield,SGDI12M Curncy,PX_LAST,SG,FX,,
USDTRY 12m implied yield,TRYI12M Curncy,PX_LAST,TR,FX,,
USDHKD 12m implied yield,HKDI12M Curncy,PX_LAST,HK,FX,,
USDZAR 12m implied yield,ZARI12M Curncy,PX_LAST,ZA,FX,,
USDMXN 12m implied yield,MXNI12M Curncy,PX_LAST,MX,FX,,
USDCNY 12m NDF implied yield,CCNI12M Curncy,PX_LAST,CN,FX,,
USDKRW 12m NDF implied yield,KWNI12M Curncy,PX_LAST,KR,FX,,
USDTWD 12m NDF implied yield,NTNI12M Curncy,PX_LAST,TW,FX,,
USDIDR 12m NDF implied yield,IHNI12M Curncy,PX_LAST,ID,FX,,
USDINR 12m NDF implied yield,IRNI12M Curncy,PX_LAST,IN,FX,,
USDPHP 12m NDF implied yield,PPNI12M Curncy,PX_LAST,PH,FX,,
EURUSD 2w forward point,EUR2W Curncy,PX_LAST,EU,FX,,
USDJPY 2w forward point,JPY2W Curncy,PX_LAST,JP,FX,,
GBPUSD 2w forward point,GBP2W Curncy,PX_LAST,UK,FX,,
AUDUSD 2w forward point,AUD2W Curncy,PX_LAST,AU,FX,,
USDCAD 2w forward point,CAD2W Curncy,PX_LAST,CA,FX,,
NZDUSD 2w forward point,NZD2W Curncy,PX_LAST,NZ,FX,,
USDCHF 2w forward point,CHF2W Curncy,PX_LAST,CH,FX,,
USDNOK 2w forward point,NOK2W Curncy,PX_LAST,NO,FX,,
USDCNH 2w forward point,CNH2W Curncy,PX_LAST,CN,FX,,
USDSGD 2w forward point,SGD2W Curncy,PX_LAST,SG,FX,,
USDTRY 2w forward point,TRY2W Curncy,PX_LAST,TR,FX,,
USDHKD 2w forward point,HKD2W Curncy,PX_LAST,HK,FX,,
USDZAR 2w forward point,ZAR2W Curncy,PX_LAST,ZA,FX,,
USDMXN 2w forward point,MXN2W Curncy,PX_LAST,MX,FX,,
EURUSD  Carry Return,EURUSDCR Curncy,PX_LAST,EU,FX,,
USDJPY  Carry Return,USDJPYCR Curncy,PX_LAST,JP,FX,,
GBPUSD  Carry Return,GBPUSDCR Curncy,PX_LAST,UK,FX,,
AUDUSD  Carry Return,AUDUSDCR Curncy,PX_LAST,AU,FX,,
USDCAD  Carry Return,USDCADCR Curncy,PX_LAST,CA,FX,,
NZDUSD  Carry Return,NZDUSDCR Curncy,PX_LAST,NZ,FX,,
USDCHF  Carry Return,USDCHFCR Curncy,PX_LAST,CH,FX,,
USDNOK  Carry Return,USDNOKCR Curncy,PX_LAST,NO,FX,,
USDCNH  Carry Return,USDCNHCR Curncy,PX_LAST,CN,FX,,
USDSGD  Carry Return,USDSGDCR Curncy,PX_LAST,SG,FX,,
USDTRY  Carry Return,USDTRYCR Curncy,PX_LAST,TR,FX,,
USDHKD  Carry Return,USDHKDCR Curncy,PX_LAST,HK,FX,,
USDZAR  Carry Return,USDZARCR Curncy,PX_LAST,ZA,FX,,
USDMXN  Carry Return,USDMXNCR Curncy,PX_LAST,MX,FX,,
DAX,DAX Index,PX_LAST,US,FX,USDCNY 3m NDF Outright,CCN+3M Curncy
CNY Fixing,CNYMUSD Index,PX_LAST,,,USDKRW 3m NDF Outright,KWN+3M Curncy
USDCNY,USDCNY Index,PX_LAST,,,USDTWD 3m NDF Outright,NTN+3M Curncy
USDKRW,USDKRW Index,PX_LAST,,,USDIDR 3m NDF Outright,IHN+3M Curncy
USDTWD,USDTWD Index,PX_LAST,,,USDINR 3m NDF Outright,IRN+3M Curncy
USDINR,USDINR Index,PX_LAST,,,USDPHP 3m NDF Outright,PPN+3M Curncy
USDIDR,USDIDR Index,PX_LAST,,,DAX Outright,DAX+DAX Index
USDPHP,USDPHP Index,PX_LAST,,,,
