"ticker","DES"
"CY111795 Curncy","NA America Tech HY 10Y CDSB"
"CY111760 Curncy","NA America Tech IG 10Y CDSB"
"CY111865 Curncy","NA America Util HY 10Y CDSB"
"CY111830 Curncy","NA America Util IG 10Y CDSB"
"CY111935 Curncy","NA Asia EXJP Comm IG 10Y CD"
"CY111970 Curncy","NA Asia EXJP Cons Disc IG10"
"CY112040 Curncy","NA Asia EXJP Energy IG 10Y"
"CY112110 Curncy","NA Asia EXJP Fin Sr IG 10Y"
"CY112075 Curncy","NA Asia EXJP Fin Sub IG 10Y"
"CY113195 Curncy","NA Europe Comm HY 10Y CDSB"
"CY113160 Curncy","NA Europe Comm IG 10Y CDSB"
"CY113265 Curncy","NA Europe Cons Disc HY 10Y"
"CY113230 Curncy","NA Europe Cons Disc IG 10Y"
"CY113300 Curncy","NA Europe Cons Stap IG 10Y"
"CY113370 Curncy","NA Europe Energy IG 10Y CDS"
"CY113545 Curncy","NA Europe Fin Sr HY 10Y CDS"
"CY113510 Curncy","NA Europe Fin Sr IG 10Y CDS"
"CY113475 Curncy","NA Europe Fin Sub HY 10Y CD"
"CY113440 Curncy","NA Europe Fin Sub IG 10Y CD"
"CY113580 Curncy","NA Europe Health IG 10Y CDS"
"CY113650 Curncy","NA Europe Industrials IG 10"
"CY113125 Curncy","NA Europe Materials HY 10Y"
"CY113090 Curncy","NA Europe Materials IG 10Y"
"CY113755 Curncy","NA Europe Tech HY 10Y CDSB"
"CY113720 Curncy","NA Europe Tech IG 10Y CDSB"
"CY113790 Curncy","NA Europe Util IG 10Y CDSB"
"CY112355 Curncy","NA Japan Cons Disc IG 10Y C"
"CY112390 Curncy","NA Japan Cons Stap IG 10Y C"
"CY112495 Curncy","NA Japan Fin Sr IG 10Y CDSB"
"CY112460 Curncy","NA Japan Fin Sub IG 10Y CDS"
"CY112565 Curncy","NA Japan Industrials IG 10Y"
"CY112285 Curncy","NA Japan Materials IG 10Y C"
"CY112600 Curncy","NA Japan Tech IG 10Y CDSB C"
"CY112635 Curncy","NA Japan Util IG 10Y CDSB C"
"CBRZ1U5 Curncy","Brazil BRAZIL CDS USD SR 5Y D14"
"CCOL1U5 Curncy","Colombia COLOM CDS USD SR 5Y D14"
"CCHIL1U5 Curncy","Chile CHILE CDS USD SR 5Y D14"
"CMEX1U5 Curncy","Mexico MEX CDS USD SR 5Y D14"
"CPAN1U5 Curncy","Panama PANAMA CDS USD SR 5Y D14"
"CPERU1U5 Curncy","Peru PERU CDS USD SR 5Y D14"
"CT350188 Curncy","Argentina ARGENT CDS USD SR 5Y D14"
"CSPA1U5 Curncy","Spain SPAIN CDS USD SR 5Y D14"
"CPGB1U5 Curncy","Portugal PORTUG CDS USD SR 5Y D14"
"CGGB1U5 Curncy","Greece GREECE CDS USD SR 5Y D14"
"CEGY1U5 Curncy","Egypt EGYPT CDS USD SR 5Y D14"
"CAUT1U5 Curncy","Austria AUST CDS USD SR 5Y D14"
"CBULG1U5 Curncy","Bulgaria BGARIA CDS USD SR 5Y D14"
"CCROA1U5 Curncy","Croatia CROATB CDS USD SR 5Y D14"
"CDEN1U5 Curncy","Denmark DENK CDS USD SR 5Y D14"
"CFIN1U5 Curncy","Finland FINL CDS USD SR 5Y D14"
"CHUN1U5 Curncy","Hungary HUNGARY CDS USD SR 5Y D14"
"CISR1U5 Curncy","Israel ISRAEL CDS USD SR 5Y D14"
"CKAZ1U5 Curncy","Kazakhstan KAZAKS CDS USD SR 5Y D14"
"CPOLD1U5 Curncy","Poland POLAND CDS USD SR 5Y D14"
"CQTA1U5 Curncy","Qatar QATAR CDS USD SR 5Y D14"
"CROA1U5 Curncy","Romania ROMANI CDS USD SR 5Y D14"
"CSLVK1U5 Curncy","Slovakia SLOVAK CDS USD SR 5Y D14"
"CSOAF1U5 Curncy","South Africa REPSOU CDS USD SR 5Y D14"
"CT349923 Curncy","Czechia CZECH CDS USD SR 5Y D14"
"CT354156 Curncy","Slovenia SLOVEN CDS USD SR 5Y D14"
"CT354225 Curncy","Latvia LATVIA CDS USD SR 5Y D14"
"CT354237 Curncy","Lithuania LITHUN CDS USD SR 5Y D14"
"CT393413 Curncy","Bahrain BHRAIN CDS USD SR 5Y D14"
"CT393726 Curncy","Nigeria NIGERIA CDS USD SR 5Y D14"
"CT421069 Curncy","United Arab Emirates DUBAI CDS USD SR 5Y D14"
"CT777651 Curncy","Ireland IRELND CDS USD SR 5Y D14"
"CT777775 Curncy","Norway NORWAY CDS USD SR 5Y D14"
"CT965307 Curncy","Saudi Arabia KSA CDS USD SR 5Y D14"
"CT991547 Curncy","Oman OMAN CDS USD SR 5Y D14"
"CTURK1U5 Curncy","Turkey TURKEY CDS USD SR 5Y D14"
"CX855707 Curncy","United Arab Emirates ABUDHAB CDS USD SR 5Y D14"
"CY002690 Curncy","Morocco MOROC CDS USD SR 5Y D14"
"CT855561 Curncy","Australia AUSTLA CDS USD SR 5Y D14"
"CKREA1U5 Curncy","South Korea KOREA CDS USD SR 5Y D14"
"CINO1U5 Curncy","Indonesia INDON CDS USD SR 5Y D14"
"CCHIN1U5 Curncy","China CHINAGOV CDS USD SR 5Y D14"
"CMLAY1U5 Curncy","Malaysia MALAYS CDS USD SR 5Y D14"
"CPHIL1U5 Curncy","Philippines PHILIP CDS USD SR 5Y D14"
"CTHAI1U5 Curncy","Thailand THAI CDS USD SR 5Y D14"
