DES,ticker
OIL- NYM ETHANE Other Reportables Long,DFU3FORL Index
OIL- NYM ETHANE Other Reportables Short,DFU3FORS Index
OIL- NYM ETHANE Other Reportables Spreading,DFU3FORD Index
OIL- NYM ETHANE Non Commercial Net Position,CFF3ANCN Index
OIL- NYM BUTANE 1st Contract Price,DAE1 Comdty
OIL- NYM BUTANE Non Comercial Long,CFF3BNCL Index
OIL- NYM BUTANE Non Comercial Short,CFF3BNCS Index
OIL- NYM BUTANE Non Comercial Spreading,CFF3BNCP Index
OIL- NYM BUTANE Commercial Long,CFF3BCOL Index
OIL- NYM BUTANE Commercial Short,CFF3BCOS Index
OIL- NYM BUTANE Total Long,CFF3BTLL Index
OIL- NYM BUTANE Total Short,CFF3BTLS Index
OIL- NYM BUTANE Open Interest,CFF3BOIN Index
OIL- NYM BUTANE Non Reportable Long,CFF3BNRL Index
OIL- NYM BUTANE Non Reportable Short,CFF3BNRS Index
OIL- NYM BUTANE Managed Money Long,DFU3GMML Index
OIL- NYM BUTANE Managed Money Short,DFU3GMMS Index
OIL- NYM BUTANE Producer Long,DFU3GPML Index
OIL- NYM BUTANE Producer Short,DFU3GPMS Index
OIL- NYM BUTANE Swap Dealers Long,DFU3GSWL Index
OIL- NYM BUTANE Swap Dealers Short,DFU3GSWS Index
OIL- NYM BUTANE Swap Dealers Spreading,DFU3GSWD Index
OIL- NYM BUTANE Managed Money Spread,DFU3GMMD Index
OIL- NYM BUTANE Other Reportables Long,DFU3GORL Index
OIL- NYM BUTANE Other Reportables Short,DFU3GORS Index
OIL- NYM BUTANE Other Reportables Spreading,DFU3GORD Index
OIL- NYM BUTANE Non Commercial Net Position,CFF3BNCN Index
OIL - NYM - GASOLINE OPIS 1st Contract Price,MMB1 Comdty
OIL - NYM - GASOLINE OPIS Non Comercial Long,CFF3CNCL Index
OIL - NYM - GASOLINE OPIS Non Comercial Short,CFF3CNCS Index
OIL - NYM - GASOLINE OPIS Non Comercial Spreading,CFF3CNCP Index
OIL - NYM - GASOLINE OPIS Commercial Long,CFF3CCOL Index
OIL - NYM - GASOLINE OPIS Commercial Short,CFF3CCOS Index
OIL - NYM - GASOLINE OPIS Total Long,CFF3CTLL Index
OIL - NYM - GASOLINE OPIS Total Short,CFF3CTLS Index
OIL - NYM - GASOLINE OPIS Open Interest,CFF3COIN Index
OIL - NYM - GASOLINE OPIS Non Reportable Long,CFF3CNRL Index
OIL - NYM - GASOLINE OPIS Non Reportable Short,CFF3CNRS Index
OIL - NYM - GASOLINE OPIS Managed Money Long,DFU3HMML Index
OIL - NYM - GASOLINE OPIS Managed Money Short,DFU3HMMS Index
OIL - NYM - GASOLINE OPIS Producer Long,DFU3HPML Index
OIL - NYM - GASOLINE OPIS Producer Short,DFU3HPMS Index
OIL - NYM - GASOLINE OPIS Swap Dealers Long,DFU3HSWL Index
OIL - NYM - GASOLINE OPIS Swap Dealers Short,DFU3HSWS Index
OIL - NYM - GASOLINE OPIS Swap Dealers Spreading,DFU3HSWD Index
OIL - NYM - GASOLINE OPIS Managed Money Spread,DFU3HMMD Index
OIL - NYM - GASOLINE OPIS Other Reportables Long,DFU3HORL Index
OIL - NYM - GASOLINE OPIS Other Reportables Short,DFU3HORS Index
OIL - NYM - GASOLINE OPIS Other Reportables Spreading,DFU3HORD Index
OIL - NYM - GASOLINE OPIS Non Commercial Net Position,CFF3CNCN Index
OIL - ICE EUROPE BRENT CRUDE 1st Contract Price,CO1 COMDTY
OIL - ICE EUROPE BRENT CRUDE Open Interest,ICFUBOIN Index
OIL - ICE EUROPE BRENT CRUDE Non Reportable Long,ICFUBNRL Index
OIL - ICE EUROPE BRENT CRUDE Non Reportable Short,ICFUBNRS Index
OIL - ICE EUROPE BRENT CRUDE Managed Money Long,ICFUBMML Index
OIL - ICE EUROPE BRENT CRUDE Managed Money Short,ICFUBMMS Index
OIL - ICE EUROPE BRENT CRUDE Producer Long,ICFUBPML Index
OIL - ICE EUROPE BRENT CRUDE Producer Short,ICFUBPMS Index
OIL - ICE EUROPE BRENT CRUDE Swap Dealers Long,ICFUBSWL Index
OIL - ICE EUROPE BRENT CRUDE Swap Dealers Short,ICFUBSWS Index
OIL - ICE EUROPE BRENT CRUDE Swap Dealers Spreading,ICFUBSWD Index
OIL - ICE EUROPE BRENT CRUDE Managed Money Spread,ICFUBMMD Index
OIL - ICE EUROPE BRENT CRUDE Other Reportables Long,ICFUBORL Index
OIL - ICE EUROPE BRENT CRUDE Other Reportables Short,ICFUBORS Index
OIL - ICE EUROPE BRENT CRUDE Other Reportables Spreading,ICFUBORD Index
OIL - NYM HEATING OIL 1st Contract Price,HO1 Comdty
OIL - NYM HEATING OIL Non Comercial Long,NYM1HNCL Index
OIL - NYM HEATING OIL Non Comercial Short,NYM1HNCS Index
OIL - NYM HEATING OIL Non Comercial Spreading,NYM1HNCP Index
OIL - NYM HEATING OIL Commercial Long,NYM1HCOL Index
OIL - NYM HEATING OIL Commercial Short,NYM1HCOS Index
OIL - NYM HEATING OIL Total Long,NYM1HTLL Index
OIL - NYM HEATING OIL Total Short,NYM1HTLS Index
OIL - NYM HEATING OIL Open Interest,NYM1HOIN Index
OIL - NYM HEATING OIL Non Reportable Long,NYM1HNRL Index
OIL - NYM HEATING OIL Non Reportable Short,NYM1HNRS Index
OIL - NYM HEATING OIL Managed Money Long,CFFDNMML Index
OIL - NYM HEATING OIL Managed Money Short,CFFDNMMS Index
OIL - NYM HEATING OIL Producer Long,CFFDNPML Index
OIL - NYM HEATING OIL Producer Short,CFFDNPMS Index
OIL - NYM HEATING OIL Swap Dealers Long,CFFDNSWL Index
OIL - NYM HEATING OIL Swap Dealers Short,CFFDNSWS Index
OIL - NYM HEATING OIL Swap Dealers Spreading,CFFDNSWD Index
OIL - NYM HEATING OIL Managed Money Spread,CFFDNMMD Index
OIL - NYM HEATING OIL Other Reportables Long,CFFDNORL Index
OIL - NYM HEATING OIL Other Reportables Short,CFFDNORS Index
OIL - NYM HEATING OIL Other Reportables Spreading,CFFDNORD Index
OIL - NYM HEATING OIL Non Commercial Net Position,NYM1HNCN Index
OIL - ICE EUROPE GASOIL FUTURES 1st Contract Price,QS1 COMDTY
OIL - ICE EUROPE GASOIL FUTURES Open Interest,ICFUAOIN INDEX
OIL - ICE EUROPE GASOIL FUTURES Non Reportable Long,ICFUANRL Index
OIL - ICE EUROPE GASOIL FUTURES Non Reportable Short,ICFUANRS Index
OIL - ICE EUROPE GASOIL FUTURES Managed Money Long,ICFUAMML INDEX
OIL - ICE EUROPE GASOIL FUTURES Managed Money Short,ICFUAMMS INDEX
OIL - ICE EUROPE GASOIL FUTURES Producer Long,ICFUAPML INDEX
OIL - ICE EUROPE GASOIL FUTURES Producer Short,ICFUAPMS INDEX
OIL - ICE EUROPE GASOIL FUTURES Swap Dealers Long,ICFUASWL INDEX
OIL - ICE EUROPE GASOIL FUTURES Swap Dealers Short,ICFUASWS INDEX
OIL - ICE EUROPE GASOIL FUTURES Swap Dealers Spreading,ICFUASWD INDEX
OIL - ICE EUROPE GASOIL FUTURES Managed Money Spread,ICFUAMMD INDEX
OIL - ICE EUROPE GASOIL FUTURES Other Reportables Long,ICFUAORL INDEX
OIL - ICE EUROPE GASOIL FUTURES Other Reportables Short,ICFUAORS INDEX
OIL - ICE EUROPE GASOIL FUTURES Other Reportables Spreading,ICFUAORD INDEX
OIL - ICE EUROPE GASOIL FUTURES Non Commercial Net Position,ICFUAORN INDEX
OIL - ICE NATURAL GAS HENRY HUB 1st Contract Price,NR1 COMDTY
OIL - ICE NATURAL GAS HENRY HUB Non Comercial Long,EN1FBNCL Index
OIL - ICE NATURAL GAS HENRY HUB Non Comercial Short,EN1FBNCS Index
OIL - ICE NATURAL GAS HENRY HUB Non Comercial Spreading,EN1FBNCP Index
OIL - ICE NATURAL GAS HENRY HUB Commercial Long,EN1FBCOL Index
OIL - ICE NATURAL GAS HENRY HUB Commercial Short,EN1FBCOS Index
OIL - ICE NATURAL GAS HENRY HUB Total Long,EN1FBTLL Index
OIL - ICE NATURAL GAS HENRY HUB Total Short,EN1FBTLS Index
OIL - ICE NATURAL GAS HENRY HUB Open Interest,EN1FBOIN Index
OIL - ICE NATURAL GAS HENRY HUB Non Reportable Long,EN1FBNRL Index
OIL - ICE NATURAL GAS HENRY HUB Non Reportable Short,EN1FBNRS Index
OIL - ICE NATURAL GAS HENRY HUB Managed Money Long,DFU4NMML Index
OIL - ICE NATURAL GAS HENRY HUB Managed Money Short,DFU4NMMS Index
OIL - ICE NATURAL GAS HENRY HUB Producer Long,DFU4NPML Index
OIL - ICE NATURAL GAS HENRY HUB Producer Short,DFU4NPMS Index
OIL - ICE NATURAL GAS HENRY HUB Swap Dealers Long,DFU4NSWL Index
OIL - ICE NATURAL GAS HENRY HUB Swap Dealers Short,DFU4NSWS Index
OIL - ICE NATURAL GAS HENRY HUB Swap Dealers Spreading,DFU4NSWD Index
OIL - ICE NATURAL GAS HENRY HUB Managed Money Spread,DFU4NMMD Index
OIL - ICE NATURAL GAS HENRY HUB Other Reportables Long,DFU4NORL Index
OIL - ICE NATURAL GAS HENRY HUB Other Reportables Short,DFU4NORS Index
OIL - ICE NATURAL GAS HENRY HUB Other Reportables Spreading,DFU4NORD Index
OIL - ICE NATURAL GAS HENRY HUB Non Commercial Net Position,EN1FBNCN Index
"OIL - CRUDE OIL, LIGHT SWEET 1st Contract Price",EN1 COMDTY
"OIL - CRUDE OIL, LIGHT SWEET Non Comercial Long",EN1FANCL Index
"OIL - CRUDE OIL, LIGHT SWEET Non Comercial Short",EN1FANCS Index
"OIL - CRUDE OIL, LIGHT SWEET Non Comercial Spreading",EN1FANCP Index
"OIL - CRUDE OIL, LIGHT SWEET Commercial Long",EN1FACOL Index
"OIL - CRUDE OIL, LIGHT SWEET Commercial Short",EN1FACOS Index
"OIL - CRUDE OIL, LIGHT SWEET Total Long",EN1FATLL Index
"OIL - CRUDE OIL, LIGHT SWEET Total Short",EN1FATLS Index
"OIL - CRUDE OIL, LIGHT SWEET Open Interest",EN1FAOIN Index
"OIL - CRUDE OIL, LIGHT SWEET Non Reportable Long",EN1FANRL Index
"OIL - CRUDE OIL, LIGHT SWEET Non Reportable Short",EN1FANRS Index
"OIL - CRUDE OIL, LIGHT SWEET Managed Money Long",CFFDPMML Index
"OIL - CRUDE OIL, LIGHT SWEET Managed Money Short",CFFDPMMS Index
"OIL - CRUDE OIL, LIGHT SWEET Producer Long",CFFDPPML Index
"OIL - CRUDE OIL, LIGHT SWEET Producer Short",CFFDPPMS Index
"OIL - CRUDE OIL, LIGHT SWEET Swap Dealers Long",CFFDPSWL Index
"OIL - CRUDE OIL, LIGHT SWEET Swap Dealers Short",CFFDPSWS Index
"OIL - CRUDE OIL, LIGHT SWEET Swap Dealers Spreading",CFFDPSWD Index
"OIL - CRUDE OIL, LIGHT SWEET Managed Money Spread",CFFDPMMD Index
"OIL - CRUDE OIL, LIGHT SWEET Other Reportables Long",CFFDPORL Index
"OIL - CRUDE OIL, LIGHT SWEET Other Reportables Short",CFFDPORS Index
"OIL - CRUDE OIL, LIGHT SWEET Other Reportables Spreading",CFFDPORD Index
"OIL - CRUDE OIL, LIGHT SWEET Non Commercial Net Position",EN1FANCN Index
METALS - CMX GOLD 1st Contract Price,GC1 Comdty
METALS - CMX GOLD Non Comercial Long,CEI1GNCL Index
METALS - CMX GOLD Non Comercial Short,CEI1GNCS Index
METALS - CMX GOLD Non Comercial Spreading,CEI1GNCP Index
METALS - CMX GOLD Commercial Long,CEI1GCOL Index
METALS - CMX GOLD Commercial Short,CEI1GCOS Index
METALS - CMX GOLD Total Long,CEI1GTLL Index
METALS - CMX GOLD Total Short,CEI1GTLS Index
METALS - CMX GOLD Open Interest,CEI1GOIN Index
METALS - CMX GOLD Non Reportable Long,CEI1GNRL Index
METALS - CMX GOLD Non Reportable Short,CEI1GNRS Index
METALS - CMX GOLD Managed Money Long,CFFDUMML Index
METALS - CMX GOLD Managed Money Short,CFFDUMMS Index
METALS - CMX GOLD Producer Long,CFFDUPML Index
METALS - CMX GOLD Producer Short,CFFDUPMS Index
METALS - CMX GOLD Swap Dealers Long,CFFDUSWL Index
METALS - CMX GOLD Swap Dealers Short,CFFDUSWS Index
METALS - CMX GOLD Swap Dealers Spreading,CFFDUSWD Index
METALS - CMX GOLD Managed Money Spread,CFFDUMMD Index
METALS - CMX GOLD Other Reportables Long,CFFDUORL Index
METALS - CMX GOLD Other Reportables Short,CFFDUORS Index
METALS - CMX GOLD Other Reportables Spreading,CFFDUORD Index
METALS - CMX GOLD Non Commercial Net Position,CEI1GNCN Index
METALS - CMX SILVER 1st Contract Price,SI1 Comdty
METALS - CMX SILVER Non Comercial Long,CEI1SNCL Index
METALS - CMX SILVER Non Comercial Short,CEI1SNCS Index
METALS - CMX SILVER Non Comercial Spreading,CEI1SNCP Index
METALS - CMX SILVER Commercial Long,CEI1SCOL Index
METALS - CMX SILVER Commercial Short,CEI1SCOS Index
METALS - CMX SILVER Total Long,CEI1STLL Index
METALS - CMX SILVER Total Short,CEI1STLS Index
METALS - CMX SILVER Open Interest,CEI1SOIN Index
METALS - CMX SILVER Non Reportable Long,CEI1SNRL Index
METALS - CMX SILVER Non Reportable Short,CEI1SNRS Index
METALS - CMX SILVER Managed Money Long,CFFDSMML Index
METALS - CMX SILVER Managed Money Short,CFFDSMMS Index
METALS - CMX SILVER Producer Long,CFFDSPML Index
METALS - CMX SILVER Producer Short,CFFDSPMS Index
METALS - CMX SILVER Swap Dealers Long,CFFDSSWL Index
METALS - CMX SILVER Swap Dealers Short,CFFDSSWS Index
METALS - CMX SILVER Swap Dealers Spreading,CFFDSSWD Index
METALS - CMX SILVER Managed Money Spread,CFFDSMMD Index
METALS - CMX SILVER Other Reportables Long,CFFDSORL Index
METALS - CMX SILVER Other Reportables Short,CFFDSORS Index
METALS - CMX SILVER Other Reportables Spreading,CFFDSORD Index
METALS - CMX SILVER Non Commercial Net Position,CEI1SNCN Index
METALS - CMX PLATINUM 1st Contract Price,PL1 Comdty
METALS - CMX PLATINUM Non Comercial Long,NYM3PNCL Index
METALS - CMX PLATINUM Non Comercial Short,NYM3PNCS Index
METALS - CMX PLATINUM Non Comercial Spreading,NYM3PNCP Index
METALS - CMX PLATINUM Commercial Long,NYM3PCOL Index
METALS - CMX PLATINUM Commercial Short,NYM3PCOS Index
METALS - CMX PLATINUM Total Long,NYM3PTLL Index
METALS - CMX PLATINUM Total Short,NYM3PTLS Index
METALS - CMX PLATINUM Open Interest,NYM3POIN Index
METALS - CMX PLATINUM Non Reportable Long,NYM3PNRL Index
METALS - CMX PLATINUM Non Reportable Short,NYM3PNRS Index
METALS - CMX PLATINUM Managed Money Long,DFU3OMML Index
METALS - CMX PLATINUM Managed Money Short,DFU3OMMS Index
METALS - CMX PLATINUM Producer Long,DFU3OPML Index
METALS - CMX PLATINUM Producer Short,DFU3OPMS Index
METALS - CMX PLATINUM Swap Dealers Long,DFU3OSWL Index
METALS - CMX PLATINUM Swap Dealers Short,DFU3OSWS Index
METALS - CMX PLATINUM Swap Dealers Spreading,DFU3OSWD Index
METALS - CMX PLATINUM Managed Money Spread,DFU3OMMD Index
METALS - CMX PLATINUM Other Reportables Long,DFU3OORL Index
METALS - CMX PLATINUM Other Reportables Short,DFU3OORS Index
METALS - CMX PLATINUM Other Reportables Spreading,DFU3OORD Index
METALS - CMX PLATINUM Non Commercial Net Position,NYM3PNCN Index
METALS - CMX PALLADIUM 1st Contract Price,PA1 Comdty
METALS - CMX PALLADIUM Non Comercial Long,NYM2PNCL Index
METALS - CMX PALLADIUM Non Comercial Short,NYM2PNCS Index
METALS - CMX PALLADIUM Non Comercial Spreading,NYM2PNCP Index
METALS - CMX PALLADIUM Commercial Long,NYM2PCOL Index
METALS - CMX PALLADIUM Commercial Short,NYM2PCOS Index
METALS - CMX PALLADIUM Total Long,NYM2PTLL Index
METALS - CMX PALLADIUM Total Short,NYM2PTLS Index
METALS - CMX PALLADIUM Open Interest,NYM2POIN Index
METALS - CMX PALLADIUM Non Reportable Long,NYM2PNRL Index
METALS - CMX PALLADIUM Non Reportable Short,NYM2PNRS Index
METALS - CMX PALLADIUM Managed Money Long,DFU3NMML Index
METALS - CMX PALLADIUM Managed Money Short,DFU3NMMS Index
METALS - CMX PALLADIUM Producer Long,DFU3NPML Index
METALS - CMX PALLADIUM Producer Short,DFU3NPMS Index
METALS - CMX PALLADIUM Swap Dealers Long,DFU3NSWL Index
METALS - CMX PALLADIUM Swap Dealers Short,DFU3NSWS Index
METALS - CMX PALLADIUM Swap Dealers Spreading,DFU3NSWD Index
METALS - CMX PALLADIUM Managed Money Spread,DFU3NMMD Index
METALS - CMX PALLADIUM Other Reportables Long,DFU3NORL Index
METALS - CMX PALLADIUM Other Reportables Short,DFU3NORS Index
METALS - CMX PALLADIUM Other Reportables Spreading,DFU3NORD Index
METALS - CMX PALLADIUM Non Commercial Net Position,NYM2PNCN Index
METALS - CMX  COPPER 1st Contract Price,HG1 Comdty
METALS - CMX  COPPER Non Comercial Long,CEI1CNCL Index
METALS - CMX  COPPER Non Comercial Short,CEI1CNCS Index
METALS - CMX  COPPER Non Comercial Spreading,CEI1CNCP Index
METALS - CMX  COPPER Commercial Long,CEI1CCOL Index
METALS - CMX  COPPER Commercial Short,CEI1CCOS Index
METALS - CMX  COPPER Total Long,CEI1CTLL Index
METALS - CMX  COPPER Total Short,CEI1CTLS Index
METALS - CMX  COPPER Open Interest,CEI1COIN Index
METALS - CMX  COPPER Non Reportable Long,CEI1CNRL Index
METALS - CMX  COPPER Non Reportable Short,CEI1CNRS Index
METALS - CMX  COPPER Managed Money Long,CFFDTMML Index
METALS - CMX  COPPER Managed Money Short,CFFDTMMS Index
METALS - CMX  COPPER Producer Long,CFFDTPML Index
METALS - CMX  COPPER Producer Short,CFFDTPMS Index
METALS - CMX  COPPER Swap Dealers Long,CFFDTSWL Index
METALS - CMX  COPPER Swap Dealers Short,CFFDTSWS Index
METALS - CMX  COPPER Swap Dealers Spreading,CFFDTSWD Index
METALS - CMX  COPPER Managed Money Spread,CFFDTMMD Index
METALS - CMX  COPPER Other Reportables Long,CFFDTORL Index
METALS - CMX  COPPER Other Reportables Short,CFFDTORS Index
METALS - CMX  COPPER Other Reportables Spreading,CFFDTORD Index
METALS - CMX  COPPER Non Commercial Net Position,CEI1CNCN Index
SOFTS - ICE COTTON N2 1st Contract Price,CT1 Comdty
SOFTS - ICE COTTON N2 Non Comercial Long,NYC1CNCL Index
SOFTS - ICE COTTON N2 Non Comercial Short,NYC1CNCS Index
SOFTS - ICE COTTON N2 Non Comercial Spreading,NYC1CNCP Index
SOFTS - ICE COTTON N2 Commercial Long,NYC1CCOL Index
SOFTS - ICE COTTON N2 Commercial Short,NYC1CCOS Index
SOFTS - ICE COTTON N2 Total Long,NYC1CTLL Index
SOFTS - ICE COTTON N2 Total Short,NYC1CTLS Index
SOFTS - ICE COTTON N2 Open Interest,NYC1COIN Index
SOFTS - ICE COTTON N2 Non Reportable Long,NYC1CNRL Index
SOFTS - ICE COTTON N2 Non Reportable Short,NYC1CNRS Index
SOFTS - ICE COTTON N2 Managed Money Long,CFFDJMML Index
SOFTS - ICE COTTON N2 Managed Money Short,CFFDJMMS Index
SOFTS - ICE COTTON N2 Producer Long,CFFDJPML Index
SOFTS - ICE COTTON N2 Producer Short,CFFDJPMS Index
SOFTS - ICE COTTON N2 Swap Dealers Long,CFFDJSWL Index
SOFTS - ICE COTTON N2 Swap Dealers Short,CFFDJSWS Index
SOFTS - ICE COTTON N2 Swap Dealers Spreading,CFFDJSWD Index
SOFTS - ICE COTTON N2 Managed Money Spread,CFFDJMMD Index
SOFTS - ICE COTTON N2 Other Reportables Long,CFFDJORL Index
SOFTS - ICE COTTON N2 Other Reportables Short,CFFDJORS Index
SOFTS - ICE COTTON N2 Other Reportables Spreading,CFFDJORD Index
SOFTS - ICE COTTON N2 Non Commercial Net Position,NYC1CNCN Index
SOFTS - ICE COFFEE C 1st Contract Price,KC1 Comdty
SOFTS - ICE COFFEE C Non Comercial Long,CSC1FNCL Index
SOFTS - ICE COFFEE C Non Comercial Short,CSC1FNCS Index
SOFTS - ICE COFFEE C Non Comercial Spreading,CSC1FNCP Index
SOFTS - ICE COFFEE C Commercial Long,CSC1FCOL Index
SOFTS - ICE COFFEE C Commercial Short,CSC1FCOS Index
SOFTS - ICE COFFEE C Total Long,CSC1FTLL Index
SOFTS - ICE COFFEE C Total Short,CSC1FTLS Index
SOFTS - ICE COFFEE C Open Interest,CSC1FOIN Index
SOFTS - ICE COFFEE C Non Reportable Long,CSC1FNRL Index
SOFTS - ICE COFFEE C Non Reportable Short,CSC1FNRS Index
SOFTS - ICE COFFEE C Managed Money Long,CFFDMMML Index
SOFTS - ICE COFFEE C Managed Money Short,CFFDMMMS Index
SOFTS - ICE COFFEE C Producer Long,CFFDMPML Index
SOFTS - ICE COFFEE C Producer Short,CFFDMPMS Index
SOFTS - ICE COFFEE C Swap Dealers Long,CFFDMSWL Index
SOFTS - ICE COFFEE C Swap Dealers Short,CFFDMSWS Index
SOFTS - ICE COFFEE C Swap Dealers Spreading,CFFDMSWD Index
SOFTS - ICE COFFEE C Managed Money Spread,CFFDMMMD Index
SOFTS - ICE COFFEE C Other Reportables Long,CFFDMORL Index
SOFTS - ICE COFFEE C Other Reportables Short,CFFDMORS Index
SOFTS - ICE COFFEE C Other Reportables Spreading,CFFDMORD Index
SOFTS - ICE COFFEE C Non Commercial Net Position,CSC1FNCN Index
SOFTS - ICE SUGAR N11 1st Contract Price,SB1 Comdty
SOFTS - ICE SUGAR N11 Non Comercial Long,CSC1SNCL Index
SOFTS - ICE SUGAR N11 Non Comercial Short,CSC1SNCS Index
SOFTS - ICE SUGAR N11 Non Comercial Spreading,CSC1SNCP Index
SOFTS - ICE SUGAR N11 Commercial Long,CSC1SCOL Index
SOFTS - ICE SUGAR N11 Commercial Short,CSC1SCOS Index
SOFTS - ICE SUGAR N11 Total Long,NYM1ETLL Index
SOFTS - ICE SUGAR N11 Total Short,NYM1ETLS Index
SOFTS - ICE SUGAR N11 Open Interest,CSC1SOIN Index
SOFTS - ICE SUGAR N11 Non Reportable Long,CSC1SNRL Index
SOFTS - ICE SUGAR N11 Non Reportable Short,CSC1SNRS Index
SOFTS - ICE SUGAR N11 Managed Money Long,CFFDLMML Index
SOFTS - ICE SUGAR N11 Managed Money Short,CFFDLMMS Index
SOFTS - ICE SUGAR N11 Producer Long,CFFDLPML Index
SOFTS - ICE SUGAR N11 Producer Short,CFFDLPMS Index
SOFTS - ICE SUGAR N11 Swap Dealers Long,CFFDLSWL Index
SOFTS - ICE SUGAR N11 Swap Dealers Short,CFFDLSWS Index
SOFTS - ICE SUGAR N11 Swap Dealers Spreading,CFFDLSWD Index
SOFTS - ICE SUGAR N11 Managed Money Spread,CFFDLMMD Index
SOFTS - ICE SUGAR N11 Other Reportables Long,CFFDLORL Index
SOFTS - ICE SUGAR N11 Other Reportables Short,CFFDLORS Index
SOFTS - ICE SUGAR N11 Other Reportables Spreading,CFFDLORD Index
SOFTS - ICE SUGAR N11 Non Commercial Net Position,CSC1SNCN Index
SOFTS - ICE FROZEN ORANGE JUICE 1st Contract Price,JO1 Comdty
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Long,CAN1ONCL Index
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Short,CAN1ONCS Index
SOFTS - ICE FROZEN ORANGE JUICE Non Comercial Spreading,CAN1ONCP Index
SOFTS - ICE FROZEN ORANGE JUICE Commercial Long,CAN1OCOL Index
SOFTS - ICE FROZEN ORANGE JUICE Commercial Short,CAN1OCOS Index
SOFTS - ICE FROZEN ORANGE JUICE Total Long,CAN1OTLL Index
SOFTS - ICE FROZEN ORANGE JUICE Total Short,CAN1OTLS Index
SOFTS - ICE FROZEN ORANGE JUICE Open Interest,CAN1OOIN Index
SOFTS - ICE FROZEN ORANGE JUICE Non Reportable Long,CAN1ONRL Index
SOFTS - ICE FROZEN ORANGE JUICE Non Reportable Short,CAN1ONRS Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Long,DFU2IMML Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Short,DFU2IMMS Index
SOFTS - ICE FROZEN ORANGE JUICE Producer Long,DFU2IPML Index
SOFTS - ICE FROZEN ORANGE JUICE Producer Short,DFU2IPMS Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Long,DFU2ISWL Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Short,DFU2ISWS Index
SOFTS - ICE FROZEN ORANGE JUICE Swap Dealers Spreading,DFU2ISWD Index
SOFTS - ICE FROZEN ORANGE JUICE Managed Money Spread,DFU2IMMD Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Long,DFU2IORL Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Short,DFU2IORS Index
SOFTS - ICE FROZEN ORANGE JUICE Other Reportables Spreading,DFU2IORD Index
SOFTS - ICE FROZEN ORANGE JUICE Non Commercial Net Position,CAN1ONCN Index
SOFTS - ICE COCOA 1st Contract Price,CC1 Comdty
SOFTS - ICE COCOA Non Comercial Long,CSC1CNCL Index
SOFTS - ICE COCOA Non Comercial Short,CSC1CNCS Index
SOFTS - ICE COCOA Non Comercial Spreading,CSC1CNCP Index
SOFTS - ICE COCOA Commercial Long,CSC1CCOL Index
SOFTS - ICE COCOA Commercial Short,CSC1CCOS Index
SOFTS - ICE COCOA Total Long,CSC1CTLL Index
SOFTS - ICE COCOA Total Short,CSC1CTLS Index
SOFTS - ICE COCOA Open Interest,CSC1COIN Index
SOFTS - ICE COCOA Non Reportable Long,CSC1CNRL Index
SOFTS - ICE COCOA Non Reportable Short,CSC1CNRS Index
SOFTS - ICE COCOA Managed Money Long,CFFDKMML Index
SOFTS - ICE COCOA Managed Money Short,CFFDKMMS Index
SOFTS - ICE COCOA Producer Long,CFFDKPML Index
SOFTS - ICE COCOA Producer Short,CFFDKPMS Index
SOFTS - ICE COCOA Swap Dealers Long,CFFDKSWL Index
SOFTS - ICE COCOA Swap Dealers Short,CFFDKSWS Index
SOFTS - ICE COCOA Swap Dealers Spreading,CFFDKSWD Index
SOFTS - ICE COCOA Managed Money Spread,CFFDKMMD Index
SOFTS - ICE COCOA Other Reportables Long,CFFDKORL Index
SOFTS - ICE COCOA Other Reportables Short,CFFDKORS Index
SOFTS - ICE COCOA Other Reportables Spreading,CFFDKORD Index
SOFTS - ICE COCOA Non Commercial Net Position,CSC1CNCN Index
SOFTS - NYSE LIFFE COCOA 1st Contract Price,QC1 COMDTY
SOFTS - NYSE LIFFE COCOA Open Interest,LIFFAOIN Index
SOFTS - NYSE LIFFE COCOA Non Reportable Long,LIFFANRL Index
SOFTS - NYSE LIFFE COCOA Non Reportable Short,LIFFANRS Index
SOFTS - NYSE LIFFE COCOA Managed Money Long,DLIFAMML Index
SOFTS - NYSE LIFFE COCOA Managed Money Short,DLIFAMMS Index
SOFTS - NYSE LIFFE COCOA Producer Long,DLIFAPML Index
SOFTS - NYSE LIFFE COCOA Producer Short,DLIFAPMS Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Long,DLIFASWL Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Short,DLIFASWS Index
SOFTS - NYSE LIFFE COCOA Swap Dealers Spreading,DLIFASWD Index
SOFTS - NYSE LIFFE COCOA Managed Money Spread,DLIFAMMD Index
SOFTS - NYSE LIFFE COCOA Other Reportables Long,DLIFAORL Index
SOFTS - NYSE LIFFE COCOA Other Reportables Short,DLIFAORS Index
SOFTS - NYSE LIFFE COCOA Other Reportables Spreading,DLIFAORD Index
