DES,ticker
GRAIN - CBOT CORN Non Comercial Long,CBT1CNCL Index
GRAIN - CBOT CORN Non Comercial Short,CBT1CNCS Index
GRAIN - CBOT CORN Non Comercial Spreading,CBT1CNCP Index
GRAIN - CBOT CORN Commercial Long,CBT1CCOL Index
GRAIN - CBOT CORN Commercial Short,CBT1CCOS Index
GRAIN - CBOT CORN Total Long,CBT1CTLL Index
GRAIN - CBOT CORN Total Short,CBT1CTLS Index
GRAIN - CBOT CORN Open Interest,CBT1COIN Index
GRAIN - CBOT CORN Non Reportable Long,CBT1CNRL Index
GRAIN - CBOT CORN Non Reportable Short,CBT1CNRS Index
GRAIN - CBOT CORN Managed Money Long,CFFDCMML Index
GRAIN - CBOT CORN Managed Money Short,CFFDCMMS Index
GRAIN - CBOT CORN Producer Long,CFFDCPML Index
GRAIN - CBOT CORN Producer Short,CFFDCPMS Index
GRAIN - CBOT CORN Swap Dealers Long,CFFDCSWL Index
GRAIN - CBOT CORN Swap Dealers Short,CFFDCSWS Index
GRAIN - CBOT CORN Swap Dealers Spreading,CFFDCSWD Index
GRAIN - CBOT CORN Managed Money Spread,CFFDCMMD Index
GRAIN - CBOT CORN Other Reportables Long,CFFDCORL Index
GRAIN - CBOT CORN Other Reportables Short,CFFDCORS Index
GRAIN - CBOT CORN Other Reportables Spreading,CFFDCORD Index
GRAIN - CBOT CORN Non Commercial Net Position,CBT1CNCN Index
GRAIN - CBOT SOYBEAN OIL 1st Contract Price,BO1 Comdty
GRAIN - CBOT SOYBEAN OIL Non Comercial Long,CBT2SNCL Index
GRAIN - CBOT SOYBEAN OIL Non Comercial Short,CBT2SNCS Index
GRAIN - CBOT SOYBEAN OIL Non Comercial Spreading,CBT2SNCP Index
GRAIN - CBOT SOYBEAN OIL Commercial Long,CBT2SCOL Index
GRAIN - CBOT SOYBEAN OIL Commercial Short,CBT2SCOS Index
GRAIN - CBOT SOYBEAN OIL Total Long,CBT2STLL Index
GRAIN - CBOT SOYBEAN OIL Total Short,CBT2STLS Index
GRAIN - CBOT SOYBEAN OIL Open Interest,CBT2SOIN Index
GRAIN - CBOT SOYBEAN OIL Non Reportable Long,CBT2SNRL Index
GRAIN - CBOT SOYBEAN OIL Non Reportable Short,CBT2SNRS Index
GRAIN - CBOT SOYBEAN OIL Managed Money Long,CFFDHMML Index
GRAIN - CBOT SOYBEAN OIL Managed Money Short,CFFDHMMS Index
GRAIN - CBOT SOYBEAN OIL Producer Long,CFFDHPML Index
GRAIN - CBOT SOYBEAN OIL Producer Short,CFFDHPMS Index
GRAIN - CBOT SOYBEAN OIL Swap Dealers Long,CFFDHSWL Index
GRAIN - CBOT SOYBEAN OIL Swap Dealers Short,CFFDHSWS Index
GRAIN - CBOT SOYBEAN OIL Swap Dealers Spreading,CFFDHSWD Index
GRAIN - CBOT SOYBEAN OIL Managed Money Spread,CFFDHMMD Index
GRAIN - CBOT SOYBEAN OIL Other Reportables Long,CFFDHORL Index
GRAIN - CBOT SOYBEAN OIL Other Reportables Short,CFFDHORS Index
GRAIN - CBOT SOYBEAN OIL Other Reportables Spreading,CFFDHORD Index
GRAIN - CBOT SOYBEAN OIL Non Commercial Net Position,CBT2SNCN Index
GRAIN - CBOT SOYBEAN MEAL 1st Contract Price,SM1 Comdty
GRAIN - CBOT SOYBEAN MEAL Non Comercial Long,CBT3SNCL Index
GRAIN - CBOT SOYBEAN MEAL Non Comercial Short,CBT3SNCS Index
GRAIN - CBOT SOYBEAN MEAL Non Comercial Spreading,CBT3SNCP Index
GRAIN - CBOT SOYBEAN MEAL Commercial Long,CBT3SCOL Index
GRAIN - CBOT SOYBEAN MEAL Commercial Short,CBT3SCOS Index
GRAIN - CBOT SOYBEAN MEAL Total Long,CBT3STLL Index
GRAIN - CBOT SOYBEAN MEAL Total Short,CBT3STLS Index
GRAIN - CBOT SOYBEAN MEAL Open Interest,CBT3SOIN index
GRAIN - CBOT SOYBEAN MEAL Non Reportable Long,CBT3SNRL Index
GRAIN - CBOT SOYBEAN MEAL Non Reportable Short,CBT3SNRS Index
GRAIN - CBOT SOYBEAN MEAL Managed Money Long,CFFDIMML Index
