"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"NORWAY",16.49,17.32,3,3.3,-0.5,51.52,-2.9,80335.2,-0.3,4,0.622085883557831
"SINGAPORE",0.23,17.43,1.9,5.7,9.2,NA,NA,389812.2,0.3,1.9,0.603193500430352
"AUSTRALIA",-2.1,-1.43,2.8,0.8,0.3,NA,2.5,39957,2.4,4,0.47115009752271
"UNITED STATES",-6.24,-3.79,2.4,2.8,-0.69,47.3,0.3,210.32,2,7.7,0.464084874021129
"SWITZERLAND",0.2,7.17,0.8,1.7,2.8,48.9,-0.19,715698.88,1.7,2.5,0.461203335645448
"CANADA",-1.18,-0.36,1.6,1.948,1.2,NA,-1.1,99088,1.4,6.6,0.452320240592539
"JAPAN",-2.26,4.66,2.5,0.8,-3.2,NA,-5.5,1097895,0.7,2.4,0.429160672523211
"EUROZONE",-3.25,2.79,1.7,1,-2.3,45,-0.6,303818,3.3,6.3,0.422037175681917
"HONG KONG",-6.09,11.99,2.2,1.9,-0.1,50,3.2,422.8,-6.9,3,0.413532224832259
"BRITAIN",-4.9,-2.55,1.7,1.4,-1.3,51.5,-1.3,106799,1.7,4.3,0.390092020025787
"NEW ZEALAND",-3.21,-5.2,2.2,-1.5,NA,NA,4.18,17316,-1.707,4.9,0.379561239686783
"GERMANY",-2.5,6.4,2.4,-0.6,-4.3,40.6,-1.4,37613,4.6,6,0.369393131196276
