"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"HONG KONG",-6.62,8.95,2,2.7,3.9,50.6,0.9,421,18.5,3,0.539431380327557
"NORWAY",25.54,27.83,6.7,2.4,-3.7,47.7,-23.6,70006.9,-2,3.1,0.514386434402333
"JAPAN",-4.21,1.6,3.2,2.2,4.1,NA,-5.5,1126383,5.8,2.5,0.507378125800041
"AUSTRALIA",-1.14,0.5,7,2.7,-1,NA,2.5,36115,4.2,3.6,0.498248235703393
"UNITED STATES",-6.66,-3.45,4,2.3,0.01,48.4,-0.2,47.2,2.1,6.7,0.481869711846021
"EUROZONE",-3.55,-0.16,6.1,1.3,-1,44.8,-1.8,292792,-2.2,6.5,0.450004647371497
"NEW ZEALAND",-2.7,-8.3,6.7,3.3,NA,NA,5.21,12544,-9.848,3.5,0.442353479891056
"CANADA",-3.15,-0.55,3.4,2.383,-0.19,NA,-5.65,86006,-0.3,5.2,0.424882561621589
"BRITAIN",-4.82,-1.24,8.7,1,-4.5,47.1,-1.3,104068,-2.9,4,0.412781945773054
"SWITZERLAND",1.27,7.08,2.2,1.6,3.7,43.2,1.96,733979.92,-1.4,1.9,0.406014165941874
"GERMANY",-1.9,4.24,6.5,-0.3,0.4,43.2,2.5,36767,-1.7,5.6,0.392135564030736
"SINGAPORE",-1.97,17.84,5.1,1,-10.9,NA,NA,325744.5,0.6,1.8,0.368992085544868
